n,t
0,<UNK>
1,<PAD>
2,RT
3,nicknames
4,:
5,Online
6,ticket
7,sales
8,for
9,Ghostland
10,Observatory
11,extended
12,until
13,6
14,PM
15,EST
16,due
17,to
18,high
19,demand
20,.
21,Get
22,them
23,before
24,they
25,sell
26,out
27,...
28,Apple
29,MacBook
30,Pro
31,A1278
32,13.3
33,""""
34,Laptop
35,-
36,MD101LL/A
37,(
38,June
39,","
40,2012
41,)
42,Full
43,read
44,by
45,eBay
46,<URL>
47,Happy
48,Birthday
49,!
50,May
51,Allah
52,s.w.t
53,bless
54,you
55,with
56,goodness
57,and
58,happiness
59,the
60,quest
61,line
62,im
63,assuming
64,it
65,will
66,be
67,same
68,way
69,awe
70,thur
71,still
72,perception
73,what
74,key
75,off
76,may
77,differ
78,from
79,me
80,Back
81,Selma
82,example
83,iow
84,Amazon
85,Kindle
86,Fire
87,1st
88,Generation
89,8GB
90,Wi-Fi
91,7in
92,Black
93,I'll
94,call
95,u
96,after
97,class
98,pooky
99,;D
100,TL_jp
101,August
102,29
103,2015
104,at
105,01:25
106,AM
107,Wie
108,staat
109,daar
110,nou
111,met
112,de
113,microfoon
114,links
115,;-)
116,Why
117,do
118,I
119,have
120,an
121,exam
122,tomorrow
123,morning
124,?
125,Big
126,Day
127,Thanks
128,all
129,of
130,Team
131,Pioneers
132,who
133,been
134,busy
135,unwrapping
136,tables
137,unpacking
138,boxes
139,ensure
140,school
141,is
142,ready
143,Ive
144,heard
145,that
146,Hadn't
147,called
148,considered
149,but
150,my
151,hair
152,so
153,oily
154,think
155,would
156,look
157,dirty
158,:)
159,Life
160,feel
161,somewhat
162,unstable
163,today
164,as
165,your
166,self-esteem
167,soar
168,More
169,Aquarius
170,#BREAKING
171,NEW
172,1
173,dead
174,many
175,15
176,injured
177,in
178,Fort
179,Hood
180,shooting
181,SWAT
182,21
183,ambulances
184,now
185,on
186,scene
187,KWTX
188,CBS-TV
189,#FortHood
190,#4GElite2
191,A
192,Premium
193,Budget
194,Phone
